Tweet,Alay Count,Abusive Count
disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus ke elo basic elo cowok bego,5,1
siapa yang telat ngasih tau elu edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga,3,2
41 kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,3,0
aku itu aku ku tau matamu sipit tapi diliat dari mana itu aku,1,1
kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah,5,2
ya bani taplak dkk,1,2
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,2,0
gue baru aja kelar re watch aldnoah zero paling kampret emang endingnya 2 karakter utama cowonya kena friendzone bray xd,6,1
nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw doket mano tu gerai rojak mertuaku taipan 2 depan twins baby amp romantika bank islam senawang,6,0
enak lg klo smbil ngewe,3,1
setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu,5,1
banci kaleng malu ga bisa jawab pertanyaan kami dari 2 hari lalu nyungsep koe,1,1
kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi,2,0
aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi nyata,2,0
bu guru enakan jadi jablay atau guru esde sih kayaknya menikmati jadi pecun ini guru,1,2
lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar,12,2
belakangan ini kok fikiran ampas banget ya,1,1
ari sarua beki mah repeh monyet,3,1
jadi cowo itu harus gantle kalo ga gantle itu namanya banci,3,1
slga mnr bom,1,0
asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin,7,0
kalo kamu noob pasti peluang disakitin nya lebih gede si,3,1
joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g,1,0
pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada 2018 damai,4,0
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan,1,0
siapapun gubernur dan presidennya rakyatnya ya kita juga,0,0
ini si kerjaannya delay mulu setan,1,1
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,1,0
pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong,2,0
itu mah sdh nenek nenek sy heran sama cebong biasay bohong terus,4,1
islam nusantara produk jil dipasarkan dg gencar oleh antek jil sementara jil anti arab tapi pro aseng kata alm kh hasyim muzadi,3,1
dari habis sahur sampe jam 10 sibayik udah nete 4x skg rasanya lemas tak terkira,5,1
gak kak emak mah gak demen ama yang sipit wkwk,5,1
kelakuan homok jaman now ngentot aja sambil live di blued gayvid gvid lokalhangat,4,1
ga kak gua bukan orang jawa maaf yak gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang,7,0
pegawai guardian training lagi kek mentang2 gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari,9,1
bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat hbd17thpelautjkt48,1,1
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri,3,0
presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk rakyatb3rsamajkw,3,0
edan emang goollnya fabiano,2,1
gapernah mendalami al quran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw,5,3
sangat terlihat beda sekali kewibawaannya yg sangat berwibawa cuma gubernur indonesia massya allah,2,0
anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt,6,2
gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu,8,0
apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sunda jawa ada hkbp juga kurang nusantara apa,12,0
ciptakan situasi kamtibmas menjelang pilkada 2018 kapolsek konang silaturahmi ke tokoh masyarakat,3,0
positif kok se positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor,0,0
kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindu istilah lahir dari tradisi ritus yang tunggal sama dengan menyembah all,1,0
kau pendikan tinggi tapi bodoh gk ada larang bawa agama biar orang islam yg di bayar ahok sadar gk jadi milih ahok gla,7,1
btp the best abaikan kaum kampret otak micin,1,1
si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe,13,1
awaasss jgn sampe beritanya sampe ke akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu brt ini plng sambil ky nhn ngeden dungu,16,1
pinokio umur 3 taonan tuh 2019gantipresiden,3,0
cerita silat lae semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china,3,0
benci sekali dgn umat islam,1,0
